instruction,output
which kubernetes metrics is used to track the Unix creation timestamp,kubernetes_state_endpoint_created
which kubernetes metrics is used to track the number of jobs,kubernetes_state_job_count
which kubernetes metrics is used to track the Observed number of failed pods in a job,kubernetes_state_job_failed
which kubernetes metrics is used to track the Observed number of succeeded pods in a job,kubernetes_state_job_succeeded
which kubernetes metrics is used to track the number of namespaces,kubernetes_state_namespace_count
which kubernetes metrics is used to track the number of nodes,kubernetes_state_node_count
which kubernetes metrics is used to track the total CPU resources of node,kubernetes_state_node_cpu_capacity
which kubernetes metrics is used to track the total memory resources of the node,kubernetes_state_node_memory_capacity
which kubernetes metrics is used to track the total pod resources of the node,kubernetes_state_node_pods_capacity
which kubernetes metrics is used to track the GPU resources of a node that are available for scheduling,kubernetes_state_node_gpu_cards_allocatable
which kubernetes metrics is used to track the total GPU resources of the node,kubernetes_state_node_gpu_cards_capacity
which kubernetes metrics is used to track the CPU resources of a node that are available for scheduling,kubernetes_state_node_cpu_allocatable
which kubernetes metrics is used to track the memory resources of a node that are available for scheduling,kubernetes_state_node_memory_allocatable
which kubernetes metrics is used to track the pod resources of a node that are available for scheduling,kubernetes_state_node_pods_allocatable
Which kubernetes metric is use to track whether the node can schedule new pods?,kubernetes_state_node_status
Which kubernetes metric is use to sum by `condition` and `status` to get number of nodes in a given condition?,kubernetes_state_nodes_by_condition
which kubernetes metrics is used to track the Container cpu load average over the last 10 seconds?,kubernetes_cpu_load_10s_avg
which kubernetes metrics is used to track the number of cores used for system time,kubernetes_cpu_system_total
which kubernetes metrics is used to track the number of cores used for user time,kubernetes_cpu_user_total
which kubernetes metrics is used to track the Number of elapsed enforcement period intervals,kubernetes_cpu_cfs_periods
which kubernetes metrics is used to track the Number of throttled period intervals,kubernetes_cpu_cfs_throttled_periods
Total time duration which kubernetes metrics is used to track the container has been throttled,kubernetes_cpu_cfs_throttled_seconds
which kubernetes metrics is used to track the number of cores used,kubernetes_cpu_usage_total
which kubernetes metrics is used to track the limit of cpu cores set,kubernetes_cpu_limits
which kubernetes metrics is used to track the requested cpu cores,kubernetes_cpu_requests
which kubernetes metrics is used to track the amount of disk used,kubernetes_filesystem_usage
which kubernetes metrics is used to track the percentage of disk used,kubernetes_filesystem_usage_pct
which kubernetes metrics is used to track the amount of bytes read from which kubernetes metrics is used to track the disk,kubernetes_io_read_bytes
which kubernetes metrics is used to track the amount of bytes written to which kubernetes metrics is used to track the disk,kubernetes_io_write_bytes
which kubernetes metrics is used to track the limit of memory set,kubernetes_memory_limits
which kubernetes metrics is used to track the limit of swap space set,kubernetes_memory_sw_limit
which kubernetes metrics is used to track the requested memory,kubernetes_memory_requests
Which kubernetes metric is use to track the current memory usage in bytes including all memory regardless of when it was accessed?,kubernetes_memory_usage
which kubernetes metrics is used to track the Current working set in bytes - this is what OOM killer is watching for,kubernetes_memory_working_set
which kubernetes metrics is used to track the amount of memory that is being used to cache data from disk (e.g. memory contents that can be associated precisely with a block on a block device),kubernetes_memory_cache
which kubernetes metrics is used to track the Size of RSS in bytes,kubernetes_memory_rss
which kubernetes metrics is used to track the amount of swap currently used by by processes in this cgroup,kubernetes_memory_swap
which kubernetes metrics is used to track the percentage of memory used,kubernetes_memory_usage_pct
which kubernetes metrics is used to track the percentage of swap space used,kubernetes_memory_sw_in_use
which kubernetes metrics is used to track the amount of bytes per second received,kubernetes_network_rx_bytes
which kubernetes metrics is used to track the amount of rx packets dropped per second,kubernetes_network_rx_dropped
which kubernetes metrics is used to track the amount of rx errors per second,kubernetes_network_rx_errors
which kubernetes metrics is used to track the amount of bytes per second transmitted,kubernetes_network_tx_bytes
which kubernetes metrics is used to track the amount of tx packets dropped per second,kubernetes_network_tx_dropped
which kubernetes metrics is used to track the amount of tx errors per second,kubernetes_network_tx_errors
which kubernetes metrics is used to track the amount of disk space container uses,kubernetes_diskio_io_service_bytes_stats_total
which kubernetes metrics is used to track the count of remaining lifetime on the certificate used to authenticate a request,kubernetes_apiserver_certificate_expiration_count
which kubernetes metrics is used to track the sum of remaining lifetime on certificate used to authenticate a request,kubernetes_apiserver_certificate_expiration_sum
which kubernetes metrics is used to track the number of HTTP requests,kubernetes_rest_client_requests
which kubernetes metrics is used to track the count of request latency in seconds broken down by verb and URL,kubernetes_rest_client_latency_count
which kubernetes metrics is used to track the sum of request latency in seconds broken down by verb and URL,kubernetes_rest_client_latency_sum
which kubernetes metrics is used to track the number of runtime operations,kubernetes_kubelet_runtime_operations
which kubernetes metrics is used to track the number of runtime operations errors,kubernetes_kubelet_runtime_errors
which kubernetes metrics is used to track the sum of latency in microseconds of network plugin operations,kubernetes_kubelet_network_plugin_latency_sum
which kubernetes metrics is used to track the count of network plugin operations by latency,kubernetes_kubelet_network_plugin_latency_count
which kubernetes metrics is used to track the quantiles of network plugin operations by latency,kubernetes_kubelet_network_plugin_latency_quantile
which kubernetes metrics is used to track the number of available bytes to track the volume,kubernetes_kubelet_volume_stats_available_bytes
which kubernetes metrics is used to track the capacity in bytes of the volume,kubernetes_kubelet_volume_stats_capacity_bytes
which kubernetes metrics is used to track the number of used bytes in volume,kubernetes_kubelet_volume_stats_used_bytes
which kubernetes metrics is used to track the maximum number of inodes in volume,kubernetes_kubelet_volume_stats_inodes
which kubernetes metrics is used to track the number of free inodes in the volume,kubernetes_kubelet_volume_stats_inodes_free
which kubernetes metrics is used to track the number of used inodes in the volume,kubernetes_kubelet_volume_stats_inodes_used
which kubernetes metrics is used to track the Ephemeral storage usage of the pod?,kubernetes_ephemeral_storage_usage
which kubernetes metrics is used to track the number of cores used by kubelet,kubernetes_kubelet_cpu_usage
which kubernetes metrics is used to track the Size of kubelet RSS in bytes,kubernetes_kubelet_memory_rss
which kubernetes metrics is used to track the number of cores used by the runtime,kubernetes_runtime_cpu_usage
which kubernetes metrics is used to track the Size of runtime RSS in bytes,kubernetes_runtime_memory_rss
which kubernetes metrics is used to track the Bytes used by container's logs on filesystem (requires kubernetes 1.14+),kubernetes_kubelet_container_log_filesystem_used_bytes
which kubernetes metrics is used to track the phase persistent volume claim is currently in,kubernetes_state_persistentvolumeclaim_status
which kubernetes metrics is used to track the Storage space request for a given pvc,kubernetes_state_persistentvolumeclaim_request_storage
which kubernetes metrics is used to track the Number of persistent volumes to sum by phase and storageclass,kubernetes_state_persistentvolumes_by_phase
which kubernetes metrics is used to track the number of available bytes in the volume,kubernetes_kubelet_volume_stats_available_bytes
which kubernetes metrics is used to track the capacity in bytes of the volume,kubernetes_kubelet_volume_stats_capacity_bytes
which kubernetes metrics is used to track the number of used bytes in the volume,kubernetes_kubelet_volume_stats_used_bytes
which kubernetes metrics is used to track the maximum number of inodes in the volume,kubernetes_kubelet_volume_stats_inodes
which kubernetes metrics is used to track the number of free inodes in the volume,kubernetes_kubelet_volume_stats_inodes_free
which kubernetes metrics is used to track the number of used inodes in the volume,kubernetes_kubelet_volume_stats_inodes_used
"In association with the `condition` tag, which kubernetes metrics is used to track the pod whihc is ready to serve requests, e.g. `condition:true` keeps the pods that are in a ready state",kubernetes_state_pod_ready
Report which kubernetes metrics is used to track the status of scheduling process for pod with its tags,kubernetes_state_pod_scheduled
which kubernetes metrics is used to report PODs that Kube scheduler cannot schedule on any node,kubernetes_state_pod_unschedulable
"To sum by `phase` to get number of pods in a given phase, and `namespace` to break this down by namespace",kubernetes_state_pod_status_phase
which kubernetes metrics is used to track number of running pods in a cluster,kubernetes_pods_running
which kubernetes metrics is used to track number of expired pods in a cluster,kubernetes_pods_expired
which kubernetes metrics is used to track the phase the persistent volume claim is currently in?,kubernetes_state_persistentvolumeclaim_status
which kubernetes metrics is used to track the Storage space request for a given pvc,kubernetes_state_persistentvolumeclaim_request_storage
which kubernetes metrics is used to track the number of replicasets,kubernetes_state_replicaset_count
which kubernetes metrics is used to track the number of replicas per ReplicaSet,kubernetes_state_replicaset_replicas
which kubernetes metrics is used to track the number of fully labeled replicas per ReplicaSet,kubernetes_state_replicaset_fully_labeled_replicas
which kubernetes metrics is used to track the number of ready replicas per ReplicaSet,kubernetes_state_replicaset_replicas_ready
which kubernetes metrics is used to track the number of desired pods for a ReplicaSet,kubernetes_state_replicaset_replicas_desired
which kubernetes metrics is used to track the Sum by namespace and type to count active services,kubernetes_state_service_count
which kubernetes metrics is used to track the number of replicas per statefulset,kubernetes_state_statefulset_replicas
which kubernetes metrics is used to track the number of desired replicas per statefulset,kubernetes_state_statefulset_replicas_desired
which kubernetes metrics is used to track the number of current replicas per StatefulSet,kubernetes_state_statefulset_replicas_current
which kubernetes metrics is used to track the number of ready replicas per StatefulSet,kubernetes_state_statefulset_replicas_ready
which kubernetes metrics is used to track the number of updated replicas per StatefulSet,kubernetes_state_statefulset_replicas_updated
Whether the containers readiness check succeeded,kubernetes_state_container_ready
Whether the container is currently in running state,kubernetes_state_container_running
Whether the container is currently in terminated state,kubernetes_state_container_terminated
Count of the containers currently reporting a in terminated state with the reason as a tag,kubernetes_state_container_status_report_count_terminated
Whether the container is currently in waiting state,kubernetes_state_container_waiting
Count of the containers currently reporting a in waiting state with the reason as a tag,kubernetes_state_container_status_report_count_waiting
show me the kubernetes metric to get the number of requested gpu devices by a container,kubernetes_state_container_gpu_request
show me the kubernetes metric to get the limit on gpu devices to be used by a container,kubernetes_state_container_gpu_limit
show me the kubernetes metric to get the number of restarts per container,kubernetes_state_container_restarts
show me the kubernetes metric to get the number of requested cpu cores by a container,kubernetes_state_container_cpu_requested
show me the kubernetes metric to get the number of requested memory bytes by a container,kubernetes_state_container_memory_requested
show me the kubernetes metric to get the limit on cpu cores to be used by a container,kubernetes_state_container_cpu_limit
show me the kubernetes metric to get the limit on memory to be used by a container,kubernetes_state_container_memory_limit
show me the kubernetes metric to get the number of containers that were previously terminated,kubernetes_containers_last_state_terminated
show me the kubernetes metric to get the number of running containers,kubernetes_containers_running
show me the kubernetes metric to get the number of times show me the kubernetes metric to get the container has been restarted,kubernetes_containers_restarts
show me the kubernetes metric to get the number of currently terminated containers,kubernetes_containers_state_terminated
show me the kubernetes metric to get the number of currently waiting containers,kubernetes_containers_state_waiting
show me the kubernetes metric to get the number of nodes running at least one daemon pod and that are supposed to,kubernetes_state_daemonset_scheduled
show me the kubernetes metric to get the number of nodes running a daemon pod but are not supposed to,kubernetes_state_daemonset_misscheduled
show me the kubernetes metric to get the number of nodes that should be running show me the kubernetes metric to get the daemon pod,kubernetes_state_daemonset_desired
show me the kubernetes metric to get the number of nodes that should be running show me the kubernetes metric to get the daemon pod and have one or more running and ready,kubernetes_state_daemonset_ready
show me the kubernetes metric to get the number of nodes that run show me the kubernetes metric to get the updated daemon pod spec,kubernetes_state_daemonset_updated
show me the kubernetes metric to get the number of deployments,kubernetes_state_deployment_count
show me the kubernetes metric to get the number of replicas per deployment,kubernetes_state_deployment_replicas
show me the kubernetes metric to get the number of available replicas per deployment,kubernetes_state_deployment_replicas_available
show me the kubernetes metric to get the number of unavailable replicas per deployment,kubernetes_state_deployment_replicas_unavailable
show me the kubernetes metric to get the number of updated replicas per deployment,kubernetes_state_deployment_replicas_updated
show me the kubernetes metric to get the number of desired replicas per deployment,kubernetes_state_deployment_replicas_desired
Wheshow me the kubernetes metric to get ther a deployment is paused,kubernetes_state_deployment_paused
Maximum number of unavailable replicas during a rolling update,kubernetes_state_deployment_rollingupdate_max_unavailable
Size of show me the kubernetes metric to get the returns response in bytes.,kubedns_response_size_bytes_sum
Number of responses on which show me the kubernetes metric to get the kubedns.response_size.bytes.sum metric is evaluated.,kubedns_response_size_bytes_count
show me the kubernetes metric to get the Time (in seconds) each request took to resolve.,kubedns_request_duration_seconds_sum
Number of requests on which show me the kubernetes metric to get the kubedns.request_duration.seconds.sum metric is evaluated.,kubedns_request_duration_seconds_count
show me the kubernetes metric to get the Total number of DNS requests made.,kubedns_request_count
show me the kubernetes metric to get the Instant number of DNS requests made.,kubedns_request_count_count
show me the kubernetes metric to get the Number of DNS requests resulting in an error.,kubedns_error_count
show me the kubernetes metric to get the Instant number of DNS requests made resulting in an error.,kubedns_error_count_count
show me the kubernetes metric to get the Number of DNS requests resulting in a cache miss.,kubedns_cachemiss_count
Instant number of DNS requests made resulting in a cache miss.,kubedns_cachemiss_count_count
show me the kubernetes metric to get the Number of addresses available in endpoint,kubernetes_state_endpoint_address_available
show me the kubernetes metric to get the Number of addresses not ready in endpoint,kubernetes_state_endpoint_address_not_ready
show me the kubernetes metric to get the Unix creation timestamp,kubernetes_state_endpoint_created
show me the kubernetes metric to get the number of jobs,kubernetes_state_job_count
show me the kubernetes metric to get the Observed number of failed pods in a job,kubernetes_state_job_failed
show me the kubernetes metric to get the Observed number of succeeded pods in a job,kubernetes_state_job_succeeded
show me the kubernetes metric to get the number of namespaces,kubernetes_state_namespace_count
show me the kubernetes metric to get the number of nodes,kubernetes_state_node_count
show me the kubernetes metric to get the total CPU resources of show me the kubernetes metric to get the node,kubernetes_state_node_cpu_capacity
show me the kubernetes metric to get the total memory resources of show me the kubernetes metric to get the node,kubernetes_state_node_memory_capacity
show me the kubernetes metric to get the total pod resources of show me the kubernetes metric to get the node,kubernetes_state_node_pods_capacity
show me the kubernetes metric to get the GPU resources of a node that are available for scheduling,kubernetes_state_node_gpu_cards_allocatable
show me the kubernetes metric to get the total GPU resources of show me the kubernetes metric to get the node,kubernetes_state_node_gpu_cards_capacity
show me the kubernetes metric to get the CPU resources of a node that are available for scheduling,kubernetes_state_node_cpu_allocatable
show me the kubernetes metric to get the memory resources of a node that are available for scheduling,kubernetes_state_node_memory_allocatable
show me the kubernetes metric to get the pod resources of a node that are available for scheduling,kubernetes_state_node_pods_allocatable
Submitted with a value of 1 for each node and tagged eishow me the kubernetes metric to get ther 'status:schedulable' or 'status:unschedulable'; Sum this metric by eishow me the kubernetes metric to get ther status to get show me the kubernetes metric to get the number of nodes in that status.,kubernetes_state_node_status
To sum by `condition` and `status` to get number of nodes in a given condition.,kubernetes_state_nodes_by_condition
Container cpu load average over show me the kubernetes metric to get the last 10 seconds,kubernetes_cpu_load_10s_avg
show me the kubernetes metric to get the number of cores used for system time,kubernetes_cpu_system_total
show me the kubernetes metric to get the number of cores used for user time,kubernetes_cpu_user_total
show me the kubernetes metric to get the Number of elapsed enforcement period intervals,kubernetes_cpu_cfs_periods
show me the kubernetes metric to get the Number of throttled period intervals,kubernetes_cpu_cfs_throttled_periods
Total time duration show me the kubernetes metric to get the container has been throttled,kubernetes_cpu_cfs_throttled_seconds
show me the kubernetes metric to get the number of cores in this machine (available until kubernetes v1.18),kubernetes_cpu_capacity
show me the kubernetes metric to get the number of cores used,kubernetes_cpu_usage_total
show me the kubernetes metric to get the limit of cpu cores set,kubernetes_cpu_limits
show me the kubernetes metric to get the requested cpu cores,kubernetes_cpu_requests
show me the kubernetes metric to get the amount of disk used,kubernetes_filesystem_usage
show me the kubernetes metric to get the percentage of disk used,kubernetes_filesystem_usage_pct
show me the kubernetes metric to get the amount of bytes read from show me the kubernetes metric to get the disk,kubernetes_io_read_bytes
show me the kubernetes metric to get the amount of bytes written to show me the kubernetes metric to get the disk,kubernetes_io_write_bytes
show me the kubernetes metric to get the amount of memory (in bytes) in this machine (available until kubernetes v1.18),kubernetes_memory_capacity
show me the kubernetes metric to get the limit of memory set,kubernetes_memory_limits
show me the kubernetes metric to get the limit of swap space set,kubernetes_memory_sw_limit
show me the kubernetes metric to get the requested memory,kubernetes_memory_requests
Current memory usage in bytes including all memory regardless of when it was accessed,kubernetes_memory_usage
Current working set in bytes - this is what show me the kubernetes metric to get the OOM killer is watching for,kubernetes_memory_working_set
show me the kubernetes metric to get the amount of memory that is being used to cache data from disk (e.g. memory contents that can be associated precisely with a block on a block device),kubernetes_memory_cache
show me the kubernetes metric to get the Size of RSS in bytes,kubernetes_memory_rss
show me the kubernetes metric to get the amount of swap currently used by by processes in this cgroup,kubernetes_memory_swap
show me the kubernetes metric to get the percentage of memory used,kubernetes_memory_usage_pct
show me the kubernetes metric to get the percentage of swap space used,kubernetes_memory_sw_in_use
show me the kubernetes metric to get the amount of bytes per second received,kubernetes_network_rx_bytes
show me the kubernetes metric to get the amount of rx packets dropped per second,kubernetes_network_rx_dropped
show me the kubernetes metric to get the amount of rx errors per second,kubernetes_network_rx_errors
show me the kubernetes metric to get the amount of bytes per second transmitted,kubernetes_network_tx_bytes
show me the kubernetes metric to get the amount of tx packets dropped per second,kubernetes_network_tx_dropped
show me the kubernetes metric to get the amount of tx errors per second,kubernetes_network_tx_errors
show me the kubernetes metric to get the amount of disk space show me the kubernetes metric to get the container uses,kubernetes_diskio_io_service_bytes_stats_total
show me the kubernetes metric to get the count of remaining lifetime on show me the kubernetes metric to get the certificate used to aushow me the kubernetes metric to get thenticate a request,kubernetes_apiserver_certificate_expiration_count
show me the kubernetes metric to get the sum of remaining lifetime on show me the kubernetes metric to get the certificate used to aushow me the kubernetes metric to get thenticate a request,kubernetes_apiserver_certificate_expiration_sum
show me the kubernetes metric to get the number of HTTP requests,kubernetes_rest_client_requests
show me the kubernetes metric to get the count of request latency in seconds broken down by verb and URL,kubernetes_rest_client_latency_count
show me the kubernetes metric to get the sum of request latency in seconds broken down by verb and URL,kubernetes_rest_client_latency_sum
show me the kubernetes metric to get the number of runtime operations,kubernetes_kubelet_runtime_operations
show me the kubernetes metric to get the number of runtime operations errors,kubernetes_kubelet_runtime_errors
show me the kubernetes metric to get the sum of latency in microseconds of network plugin operations,kubernetes_kubelet_network_plugin_latency_sum
show me the kubernetes metric to get the count of network plugin operations by latency,kubernetes_kubelet_network_plugin_latency_count
show me the kubernetes metric to get the quantiles of network plugin operations by latency,kubernetes_kubelet_network_plugin_latency_quantile
show me the kubernetes metric to get the number of runtime operations,kubernetes_kubelet_runtime_operations
show me the kubernetes metric to get the number of runtime operations errors,kubernetes_kubelet_runtime_errors
show me the kubernetes metric to get the sum of latency in microseconds of network plugin operations,kubernetes_kubelet_network_plugin_latency_sum
show me the kubernetes metric to get the count of network plugin operations by latency,kubernetes_kubelet_network_plugin_latency_count
show me the kubernetes metric to get the quantiles of network plugin operations by latency,kubernetes_kubelet_network_plugin_latency_quantile
show me the kubernetes metric to get the number of available bytes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_available_bytes
show me the kubernetes metric to get the capacity in bytes of show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_capacity_bytes
show me the kubernetes metric to get the number of used bytes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_used_bytes
show me the kubernetes metric to get the maximum number of inodes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_inodes
show me the kubernetes metric to get the number of free inodes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_inodes_free
show me the kubernetes metric to get the number of used inodes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_inodes_used
Ephemeral storage limit of show me the kubernetes metric to get the container (requires kubernetes v1.8+),kubernetes_ephemeral_storage_limits
Ephemeral storage request of show me the kubernetes metric to get the container (requires kubernetes v1.8+),kubernetes_ephemeral_storage_requests
Ephemeral storage usage of show me the kubernetes metric to get the POD,kubernetes_ephemeral_storage_usage
show me the kubernetes metric to get the number of pods that have been evicted from show me the kubernetes metric to get the kubelet (ALPHA in kubernetes v1.16),kubernetes_kubelet_evictions
show me the kubernetes metric to get the number of cores used by kubelet,kubernetes_kubelet_cpu_usage
show me the kubernetes metric to get the Size of kubelet RSS in bytes,kubernetes_kubelet_memory_rss
show me the kubernetes metric to get the number of cores used by show me the kubernetes metric to get the runtime,kubernetes_runtime_cpu_usage
show me the kubernetes metric to get the Size of runtime RSS in bytes,kubernetes_runtime_memory_rss
Bytes used by show me the kubernetes metric to get the container's logs on show me the kubernetes metric to get the filesystem (requires kubernetes 1.14+),kubernetes_kubelet_container_log_filesystem_used_bytes
show me the kubernetes metric to get the phase show me the kubernetes metric to get the persistent volume claim is currently in,kubernetes_state_persistentvolumeclaim_status
show me the kubernetes metric to get the Storage space request for a given pvc,kubernetes_state_persistentvolumeclaim_request_storage
Number of persistent volumes to sum by phase and storageclass,kubernetes_state_persistentvolumes_by_phase
show me the kubernetes metric to get the number of available bytes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_available_bytes
show me the kubernetes metric to get the capacity in bytes of show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_capacity_bytes
show me the kubernetes metric to get the number of used bytes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_used_bytes
show me the kubernetes metric to get the maximum number of inodes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_inodes
show me the kubernetes metric to get the number of free inodes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_inodes_free
show me the kubernetes metric to get the number of used inodes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_inodes_used
show me the kubernetes metric to get the number of available bytes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_available_bytes
show me the kubernetes metric to get the capacity in bytes of show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_capacity_bytes
show me the kubernetes metric to get the number of used bytes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_used_bytes
show me the kubernetes metric to get the maximum number of inodes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_inodes
show me the kubernetes metric to get the number of free inodes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_inodes_free
show me the kubernetes metric to get the number of used inodes in show me the kubernetes metric to get the volume,kubernetes_kubelet_volume_stats_inodes_used
"In association with show me the kubernetes metric to get the `condition` tag, wheshow me the kubernetes metric to get ther show me the kubernetes metric to get the pod is ready to serve requests, e.g. `condition:true` keeps show me the kubernetes metric to get the pods that are in a ready state",kubernetes_state_pod_ready
Reports show me the kubernetes metric to get the status of show me the kubernetes metric to get the scheduling process for show me the kubernetes metric to get the pod with its tags,kubernetes_state_pod_scheduled
which kubernetes metrics is used to report PODs that Kube scheduler cannot schedule on any node,kubernetes_state_pod_unschedulable
"To sum by `phase` to get number of pods in a given phase, and `namespace` to break this down by namespace",kubernetes_state_pod_status_phase
show me the kubernetes metric to get the number of running pods in a cluster,kubernetes_pods_running
show me the kubernetes metric to get show me the kubernetes metric to get the number of expired pods in a cluster,kubernetes_pods_expired
show me the kubernetes metric to get show me the kubernetes metric to get the phase show me the kubernetes metric to get the persistent volume claim is currently in?,kubernetes_state_persistentvolumeclaim_status
show me the kubernetes metric to get the Storage space request for a given pvc,kubernetes_state_persistentvolumeclaim_request_storage
show me the kubernetes metric to get the number of replicasets,kubernetes_state_replicaset_count
show me the kubernetes metric to get the number of replicas per ReplicaSet,kubernetes_state_replicaset_replicas
show me the kubernetes metric to get the number of fully labeled replicas per ReplicaSet,kubernetes_state_replicaset_fully_labeled_replicas
show me the kubernetes metric to get the number of ready replicas per ReplicaSet,kubernetes_state_replicaset_replicas_ready
show me the kubernetes metric to get the number of desired pods for a ReplicaSet,kubernetes_state_replicaset_replicas_desired
show me the kubernetes metric to get the Sum by namespace and type to count active services,kubernetes_state_service_count
show me the kubernetes metric to get the number of replicas per statefulset,kubernetes_state_statefulset_replicas
show me the kubernetes metric to get the number of desired replicas per statefulset,kubernetes_state_statefulset_replicas_desired
show me the kubernetes metric to get the number of current replicas per StatefulSet,kubernetes_state_statefulset_replicas_current
show me the kubernetes metric to get the number of ready replicas per StatefulSet,kubernetes_state_statefulset_replicas_ready
show me the kubernetes metric to get the number of updated replicas per StatefulSet,kubernetes_state_statefulset_replicas_updated
Which Kubernetes metric indicates whether the container is in a ready state?,kubernetes_state_container_ready
Which Kubernetes metric shows the current running state of the container?,kubernetes_state_container_running
Which Kubernetes metric tracks whether the container is in a terminated state?,kubernetes_state_container_terminated
Which Kubernetes metric counts the number of containers reporting in a terminated state with the reason as a tag?,kubernetes_state_container_status_report_count_terminated
Which Kubernetes metric indicates whether the container is currently in a waiting state?,kubernetes_state_container_waiting
Which Kubernetes metric counts the number of containers currently in a waiting state with the reason as a tag?,kubernetes_state_container_status_report_count_waiting
Which Kubernetes metric is used to track the number of GPU devices requested by a container?,kubernetes_state_container_gpu_request
Which Kubernetes metric is used to track the limit on the number of GPU devices to be used by a container?,kubernetes_state_container_gpu_limit
Which Kubernetes metric is used to track the number of restarts per container?,kubernetes_state_container_restarts
Which Kubernetes metric is used to track the number of CPU cores requested by a container?,kubernetes_state_container_cpu_requested
Which Kubernetes metric is used to track the number of memory bytes requested by a container?,kubernetes_state_container_memory_requested
Which Kubernetes metric is used to track the limit on CPU cores to be used by a container?,kubernetes_state_container_cpu_limit
Which Kubernetes metric is used to track the limit on memory to be used by a container?,kubernetes_state_container_memory_limit
Which Kubernetes metric is used to track the number of containers that were previously terminated?,kubernetes_containers_last_state_terminated
Which Kubernetes metric is used to track the number of currently running containers?,kubernetes_containers_running
Which Kubernetes metric is used to track the number of times the container has been restarted?,kubernetes_containers_restarts
Which Kubernetes metric is used to track the number of currently terminated containers?,kubernetes_containers_state_terminated
Which Kubernetes metric is used to track the number of currently waiting containers?,kubernetes_containers_state_waiting
Which Kubernetes metric is used to track the number of nodes running at least one daemon pod that is supposed to run?,kubernetes_state_daemonset_scheduled
Which Kubernetes metric is used to track the number of nodes running a daemon pod that they are not supposed to run?,kubernetes_state_daemonset_misscheduled
Which Kubernetes metric is used to track the number of nodes that should be running the daemon pod?,kubernetes_state_daemonset_desired
Which Kubernetes metric is used to track the number of nodes that should be running a daemon pod and have one or more running and ready?,kubernetes_state_daemonset_ready
Which Kubernetes metric is used to track the number of nodes that have the updated daemon pod spec?,kubernetes_state_daemonset_updated
Which Kubernetes metric is used to track the number of deployments?,kubernetes_state_deployment_count
Which Kubernetes metric is used to track the number of replicas per deployment?,kubernetes_state_deployment_replicas
Which Kubernetes metric is used to track the number of available replicas per deployment?,kubernetes_state_deployment_replicas_available
Which Kubernetes metric is used to track the number of unavailable replicas per deployment?,kubernetes_state_deployment_replicas_unavailable
Which Kubernetes metric is used to track the number of updated replicas per deployment?,kubernetes_state_deployment_replicas_updated
Which Kubernetes metric is used to track the number of desired replicas per deployment?,kubernetes_state_deployment_replicas_desired
Which Kubernetes metric is used to track the number of deployments that are paused?,kubernetes_state_deployment_paused
Which Kubernetes metric is used to find the maximum number of unavailable replicas during a rolling update?,kubernetes_state_deployment_rollingupdate_max_unavailable
Which Kubernetes metric is used to track the response size in bytes?,kubedns_response_size_bytes_sum
Which Kubernetes metric is used to count the number of responses evaluated by the kubedns.response_size.bytes.sum metric?,kubedns_response_size_bytes_count
Which Kubernetes metric is used to track the request duration in seconds?,kubedns_request_duration_seconds_sum
Which Kubernetes metric is used to count the number of requests evaluated by the kubedns.request_duration.seconds.sum metric?,kubedns_request_duration_seconds_count
Which Kubernetes metric is used to track the total number of DNS requests made?,kubedns_request_count
Which Kubernetes metric is used to track the instant number of DNS requests made?,kubedns_request_count_count
Which Kubernetes metric is used to track the number of DNS requests resulting in an error?,kubedns_error_count
Which Kubernetes metric is used to track the instant number of DNS requests resulting in an error?,kubedns_error_count_count
Which Kubernetes metric is used to track the number of DNS requests resulting in a cache miss?,kubedns_cachemiss_count
Which Kubernetes metric is used to track the instant number of DNS requests resulting in a cache miss?,kubedns_cachemiss_count_count
Which Kubernetes metric is used to track the number of available addresses in an endpoint?,kubernetes_state_endpoint_address_available
Which Kubernetes metric is used to track the number of addresses not ready in an endpoint?,kubernetes_state_endpoint_address_not_ready
Which Kubernetes metric is used to track the Unix creation timestamp?,kubernetes_state_endpoint_created
Which Kubernetes metric is used to track the number of jobs?,kubernetes_state_job_count
Which Kubernetes metric is used to track the number of failed pods in a job?,kubernetes_state_job_failed
Which Kubernetes metric is used to track the number of succeeded pods in a job?,kubernetes_state_job_succeeded
Which Kubernetes metric is used to track the number of namespaces?,kubernetes_state_namespace_count
